Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Silic Gollan;Elimir FC;LaLiga Hypermotion;21;Delantero centro;941;12;1;0;1.42;1.02;40.0;20.0;7.0;79.3;21.0;38.0;12.0;5.0;45.0;40.0;48.8;58.0;19.0;11.0;79.0;9.0;8.0;21.0;2;0;;;;;1350314
Elimir Siltov;Elimir FC;LaLiga Hypermotion;24;Lateral derecho;546;6;0;0;0.68;1.26;4.0;1.0;3.0;80.9;45.0;7.0;13.0;3.0;14.0;12.0;30.2;54.2;7.0;15.0;44.0;16.0;6.0;6.0;8;0;;;;;1619895
Artov Henfal;Elimir FC;LaLiga Hypermotion;25;DC;948;11;0;0;0.68;1.14;9.0;4.0;9.0;80.7;60.0;19.0;20.0;4.0;43.0;27.0;57.9;61.4;21.0;6.0;99.0;36.0;3.0;5.0;2;1;;;;;1938662
Danpel Ivalan;Elimir FC;LaLiga Hypermotion;26;Extremo izquierdo;2291;31;3;2;2.72;1.02;41.0;22.0;21.0;91.7;186.0;58.0;8.0;5.0;126.0;13.0;62.4;51.5;51.0;56.0;176.0;55.0;12.0;49.0;8;0;;;;;5289941
Jorvic Ivaju;Elimir FC;LaLiga Hypermotion;30;Pivote;887;15;0;0;1.44;2.31;2.0;0.0;4.0;78.9;24.0;40.0;29.0;3.0;46.0;30.0;54.0;54.1;13.0;29.0;135.0;17.0;9.0;7.0;9;0;;;;;5938258
Nevce Henrin;Elimir FC;LaLiga Hypermotion;22;MC;861;10;0;0;0.65;2.02;6.0;1.0;10.0;79.3;88.0;36.0;20.0;7.0;3.0;26.0;50.8;49.4;14.0;22.0;63.0;34.0;3.0;14.0;9;1;;;;;19668623
Pratov Farhus;Elimir FC;LaLiga Hypermotion;26;Mediapunta;346;4;2;1;2.34;1.47;4.0;1.0;9.0;93.5;12.0;17.0;2.0;3.0;10.0;12.0;38.0;45.9;6.0;7.0;29.0;2.0;1.0;5.0;4;0;;;;;9511741
Aros Arkov;Elimir FC;LaLiga Hypermotion;27;MC;1917;29;1;1;1.71;4.6;24.0;10.0;23.0;91.5;85.0;69.0;18.0;31.0;85.0;43.0;44.7;53.9;9.0;16.0;96.0;23.0;5.0;26.0;4;0;;;;;1712676
Farnen Corvic;Elimir FC;LaLiga Hypermotion;35;DC;983;14;0;0;1.5;2.68;4.0;0.0;4.0;79.0;32.0;34.0;1.0;4.0;59.0;28.0;55.2;46.1;22.0;10.0;83.0;21.0;7.0;12.0;7;0;;;;;1697423
Corce Belce;Elimir FC;LaLiga Hypermotion;23;Lateral derecho;1462;20;0;0;2.54;3.16;11.0;3.0;20.0;86.7;34.0;84.0;29.0;8.0;20.0;62.0;63.7;62.0;18.0;22.0;62.0;25.0;2.0;11.0;0;0;;;;;11030236
Elidin Henkov;Elimir FC;LaLiga Hypermotion;29;Mediapunta;1602;18;1;1;1.6;1.67;67.0;22.0;4.0;91.9;111.0;49.0;5.0;16.0;34.0;52.0;55.3;49.1;8.0;27.0;78.0;33.0;17.0;12.0;1;0;;;;;1623837
Kalez Silzar;Elimir FC;LaLiga Hypermotion;24;Mediapunta;1955;34;4;1;3.64;1.49;91.0;31.0;5.0;68.3;105.0;17.0;30.0;6.0;42.0;24.0;34.2;59.3;56.0;60.0;180.0;73.0;4.0;40.0;7;0;;;;;7244061
Rosju Nevrin;Pralan FC;LaLiga Hypermotion;20;POR;1866;26;0;0;;;;;13.0;86.1;70.0;64.0;11.0;25.0;47.0;76.0;31.7;40.3;37.0;20.0;76.0;67.0;12.0;29.0;8;0;89.0;35.0;4.0;9.0;1775890
Pragio Tornen;Pralan FC;LaLiga Hypermotion;22;POR;2547;42;0;0;;;;;57.0;68.1;197.0;136.0;10.0;22.0;71.0;37.0;69.4;67.6;54.0;54.0;340.0;90.0;29.0;43.0;8;0;112.0;20.0;10.0;33.0;11119368
Torrin Henhus;Pralan FC;LaLiga Hypermotion;20;Delantero centro;894;13;5;3;5.19;1.62;22.0;7.0;4.0;67.7;110.0;23.0;6.0;9.0;12.0;39.0;62.1;60.7;8.0;27.0;57.0;27.0;8.0;16.0;4;0;;;;;23297581
Lunba Lunce;Pralan FC;LaLiga Hypermotion;26;Mediapunta;1748;19;9;7;8.21;3.8;42.0;12.0;12.0;78.7;119.0;34.0;33.0;14.0;63.0;76.0;37.9;60.3;53.0;54.0;193.0;19.0;18.0;14.0;3;0;;;;;15699913
Morrin Ostsen;Pralan FC;LaLiga Hypermotion;22;Delantero centro;2123;23;7;5;8.67;4.94;57.0;27.0;50.0;88.7;64.0;51.0;9.0;17.0;47.0;9.0;32.0;48.8;31.0;54.0;170.0;90.0;22.0;12.0;8;0;;;;;7950321
Hendin Pramir;Pralan FC;LaLiga Hypermotion;24;Mediapunta;1727;28;7;6;9.36;6.21;83.0;27.0;31.0;88.7;100.0;69.0;23.0;21.0;58.0;24.0;44.5;55.8;42.0;49.0;172.0;35.0;8.0;34.0;4;0;;;;;8483822
Arpel Dannen;Pralan FC;LaLiga Hypermotion;28;Delantero centro;875;14;1;0;1.28;0.82;22.0;8.0;7.0;82.1;67.0;28.0;22.0;9.0;40.0;16.0;40.6;53.2;6.0;21.0;88.0;23.0;9.0;4.0;6;0;;;;;3853481
Osthus Henmir;Pralan FC;LaLiga Hypermotion;27;Pivote;765;12;1;0;0.91;0.6;14.0;4.0;14.0;86.2;87.0;24.0;13.0;8.0;4.0;19.0;43.6;64.5;12.0;13.0;119.0;29.0;4.0;17.0;7;0;;;;;17881639
Aros Silgio;Pralan FC;LaLiga Hypermotion;21;Lateral derecho;2146;32;0;1;4.12;1.73;8.0;3.0;24.0;66.3;97.0;27.0;21.0;21.0;29.0;90.0;56.4;60.4;47.0;50.0;196.0;9.0;8.0;32.0;8;0;;;;;3325914
Danvic Elimir;Pralan FC;LaLiga Hypermotion;23;Delantero centro;304;5;1;0;1.33;0.88;6.0;3.0;2.0;71.6;17.0;3.0;4.0;3.0;8.0;13.0;39.4;48.6;6.0;5.0;24.0;9.0;4.0;6.0;5;0;;;;;9980366
Goltov Henba;Pralan FC;LaLiga Hypermotion;24;Lateral derecho;1656;21;0;1;3.02;0.58;25.0;10.0;7.0;81.6;64.0;59.0;11.0;7.0;104.0;20.0;47.3;44.2;19.0;65.0;130.0;64.0;20.0;10.0;1;0;;;;;6185433
Silic Nevsen;Pralan FC;LaLiga Hypermotion;30;MC;1508;25;0;0;2.34;4.1;14.0;5.0;23.0;77.4;40.0;7.0;15.0;8.0;64.0;42.0;41.5;55.1;31.0;36.0;73.0;16.0;4.0;29.0;2;0;;;;;481825
Kalmir Torsen;Pralan FC;LaLiga Hypermotion;28;Mediapunta;2675;31;2;0;1.82;1.71;33.0;17.0;30.0;85.7;159.0;60.0;45.0;18.0;99.0;71.0;55.9;49.4;43.0;40.0;87.0;109.0;33.0;55.0;9;0;;;;;299087
Hennen Belju;Pralan FC;LaLiga Hypermotion;22;MC;2835;45;0;1;1.94;4.99;13.0;5.0;27.0;73.9;271.0;63.0;39.0;7.0;107.0;53.0;34.9;47.7;35.0;32.0;348.0;90.0;24.0;38.0;2;0;;;;;15127317
Kalos Arsen;Pralan FC;LaLiga Hypermotion;24;Delantero centro;2122;29;0;0;0.67;0.62;55.0;26.0;14.0;67.6;87.0;69.0;32.0;19.0;31.0;86.0;55.8;42.5;12.0;17.0;100.0;19.0;6.0;36.0;9;0;;;;;82724
Gollan Golos;Pralan FC;LaLiga Hypermotion;24;Mediapunta;2228;39;13;8;13.33;5.0;59.0;30.0;23.0;67.7;51.0;52.0;57.0;32.0;83.0;15.0;43.9;54.0;49.0;57.0;199.0;25.0;11.0;10.0;7;0;;;;;4970002
Jorkov Arlan;Pralan FC;LaLiga Hypermotion;26;Lateral derecho;2438;30;0;1;3.2;1.7;10.0;2.0;7.0;84.7;107.0;95.0;15.0;26.0;18.0;97.0;42.8;58.3;21.0;41.0;96.0;97.0;10.0;28.0;8;0;;;;;5701828
Torju Lunnen;Pralan FC;LaLiga Hypermotion;25;Extremo izquierdo;1466;17;8;6;9.36;7.15;23.0;9.0;12.0;80.8;98.0;78.0;44.0;2.0;67.0;21.0;31.3;68.4;24.0;29.0;155.0;35.0;5.0;16.0;8;0;;;;;13199160
Luntov Roshus;Pralan FC;LaLiga Hypermotion;24;Lateral derecho;2499;38;0;2;1.66;6.77;40.0;15.0;58.0;89.3;57.0;146.0;64.0;36.0;42.0;17.0;68.7;56.7;24.0;21.0;285.0;58.0;10.0;51.0;4;0;;;;;3746617
Lungio Farmir;Pralan FC;LaLiga Hypermotion;28;Delantero centro;349;5;1;1;1.87;0.58;12.0;3.0;1.0;69.7;34.0;9.0;15.0;1.0;11.0;15.0;62.9;69.1;13.0;5.0;36.0;11.0;1.0;8.0;2;0;;;;;16860295
Farfal Jorzar;Pralan FC;LaLiga Hypermotion;20;Pivote;2273;30;1;2;0.46;4.82;45.0;9.0;46.0;84.7;177.0;95.0;28.0;8.0;63.0;98.0;30.2;61.0;58.0;43.0;209.0;15.0;26.0;35.0;0;0;;;;;6176960
Hensen Kaltov;Pralan FC;LaLiga Hypermotion;22;DC;525;7;0;0;0.44;0.58;2.0;0.0;13.0;67.9;18.0;9.0;8.0;7.0;24.0;22.0;52.0;48.3;14.0;15.0;66.0;8.0;6.0;10.0;5;0;;;;;7874282
Prapel Henvic;Ostnen FC;LaLiga Hypermotion;25;POR;732;12;0;0;;;;;16.0;77.2;18.0;19.0;13.0;2.0;46.0;13.0;53.8;42.4;13.0;21.0;34.0;6.0;10.0;15.0;4;0;36.0;13.0;4.0;2.0;2648598
Tormir Jorzar;Ostnen FC;LaLiga Hypermotion;24;POR;679;8;0;0;;;;;14.0;64.9;12.0;33.0;17.0;1.0;20.0;14.0;53.2;50.2;16.0;20.0;55.0;13.0;6.0;6.0;6;0;34.0;10.0;0.0;4.0;2529492
Arba Arfal;Ostnen FC;LaLiga Hypermotion;30;Mediapunta;1791;27;5;2;7.22;3.72;41.0;12.0;43.0;93.0;202.0;53.0;42.0;3.0;6.0;59.0;40.7;45.6;41.0;27.0;157.0;74.0;22.0;42.0;8;0;;;;;14072313
Ivazar Ivavic;Ostnen FC;LaLiga Hypermotion;33;Extremo izquierdo;1737;25;3;2;3.44;2.36;80.0;35.0;4.0;89.3;99.0;27.0;11.0;16.0;49.0;31.0;54.5;46.1;12.0;11.0;106.0;59.0;9.0;39.0;4;0;;;;;1351064
Danos Henzar;Ostnen FC;LaLiga Hypermotion;25;Delantero centro;1365;23;2;2;2.5;1.62;46.0;13.0;14.0;73.2;90.0;20.0;15.0;17.0;71.0;54.0;48.0;55.2;37.0;19.0;152.0;46.0;17.0;26.0;1;0;;;;;1879823
Jordin Kalsen;Ostnen FC;LaLiga Hypermotion;18;Extremo izquierdo;1908;24;4;2;5.37;4.32;73.0;32.0;36.0;82.5;179.0;65.0;43.0;21.0;95.0;53.0;39.5;53.3;43.0;55.0;113.0;77.0;23.0;15.0;2;0;;;;;7400481
Ostpel Golba;Ostnen FC;LaLiga Hypermotion;28;DC;2034;22;1;2;0.52;5.06;32.0;9.0;5.0;91.5;111.0;60.0;14.0;25.0;15.0;59.0;61.9;46.9;43.0;43.0;198.0;26.0;7.0;12.0;8;0;;;;;2949422
Bellan Morce;Ostnen FC;LaLiga Hypermotion;24;Extremo izquierdo;1498;25;4;3;5.85;3.15;28.0;14.0;11.0;82.3;124.0;59.0;15.0;21.0;15.0;27.0;57.5;52.7;31.0;36.0;118.0;22.0;3.0;28.0;4;1;;;;;3227384
Silju Cornen;Ostnen FC;LaLiga Hypermotion;25;Lateral derecho;1454;23;0;1;1.81;2.69;5.0;1.0;27.0;67.2;103.0;42.0;23.0;10.0;39.0;15.0;51.0;57.2;35.0;19.0;121.0;28.0;6.0;32.0;6;0;;;;;2017806
Morba Kalmir;Ostnen FC;LaLiga Hypermotion;19;DC;1012;12;0;1;0.23;1.23;4.0;1.0;3.0;65.7;83.0;52.0;2.0;11.0;23.0;43.0;38.0;54.5;28.0;33.0;88.0;18.0;11.0;21.0;8;0;;;;;11913722
Elimir Henhus;Ostnen FC;LaLiga Hypermotion;24;Delantero centro;2227;37;13;6;13.25;7.03;90.0;31.0;30.0;76.5;155.0;48.0;39.0;21.0;144.0;95.0;46.8;58.1;18.0;45.0;299.0;70.0;3.0;10.0;4;0;;;;;11139853
Elios Kalsen;Ostnen FC;LaLiga Hypermotion;23;MC;995;14;0;0;1.48;0.93;3.0;0.0;7.0;88.7;70.0;5.0;3.0;16.0;55.0;10.0;66.6;59.9;10.0;22.0;96.0;39.0;6.0;19.0;0;0;;;;;2187512
Ivaos Rosvic;Ostnen FC;LaLiga Hypermotion;20;Extremo izquierdo;2842;33;7;3;7.75;6.01;66.0;26.0;57.0;87.9;215.0;81.0;46.0;47.0;64.0;60.0;65.0;51.2;42.0;47.0;294.0;72.0;17.0;14.0;8;0;;;;;5472026
Quikov Arrin;Ostnen FC;LaLiga Hypermotion;21;MC;1824;23;0;0;3.01;2.05;29.0;11.0;14.0;85.7;115.0;39.0;7.0;13.0;62.0;23.0;55.5;44.1;9.0;38.0;144.0;14.0;7.0;13.0;2;0;;;;;2373026
Belic Kaldin;Ostnen FC;LaLiga Hypermotion;21;Delantero centro;1629;21;8;3;8.88;5.93;49.0;12.0;44.0;79.3;156.0;16.0;13.0;2.0;18.0;37.0;44.2;56.9;22.0;29.0;122.0;25.0;5.0;13.0;8;0;;;;;14398523
Quisen Danvic;Ostnen FC;LaLiga Hypermotion;25;Lateral derecho;1908;25;1;0;3.07;0.48;17.0;5.0;45.0;82.5;160.0;118.0;35.0;31.0;52.0;12.0;54.5;65.1;52.0;22.0;206.0;72.0;24.0;33.0;2;0;;;;;4898827
Arkov Nevgio;Ostnen FC;LaLiga Hypermotion;26;Lateral derecho;1968;29;0;0;1.54;4.69;14.0;6.0;10.0;85.6;175.0;92.0;48.0;9.0;116.0;32.0;69.9;57.2;18.0;17.0;89.0;58.0;9.0;31.0;2;0;;;;;5806064
Henic Quiju;Ostnen FC;LaLiga Hypermotion;18;Delantero centro;1080;12;2;2;2.92;2.26;33.0;12.0;8.0;76.0;85.0;56.0;9.0;15.0;18.0;35.0;38.5;57.0;7.0;19.0;107.0;47.0;11.0;21.0;2;0;;;;;11156133
Silsen Morrin;Ostnen FC;LaLiga Hypermotion;31;Pivote;1856;23;0;1;3.43;2.19;33.0;13.0;45.0;92.1;139.0;54.0;19.0;12.0;90.0;22.0;69.7;59.0;52.0;27.0;243.0;14.0;4.0;21.0;5;0;;;;;10550289
Henos Nevpel;Ostnen FC;LaLiga Hypermotion;21;Pivote;1457;19;0;1;2.22;0.34;11.0;3.0;12.0;66.4;88.0;30.0;9.0;5.0;25.0;27.0;61.6;64.4;9.0;19.0;103.0;4.0;18.0;12.0;4;0;;;;;2366447
Belvic Farkov;Ostnen FC;LaLiga Hypermotion;25;Mediapunta;1763;24;1;0;2.08;1.22;24.0;10.0;33.0;75.8;94.0;63.0;9.0;16.0;88.0;32.0;44.0;44.6;19.0;41.0;153.0;12.0;19.0;22.0;8;0;;;;;1422949
Jorlan Jormir;Ostnen FC;LaLiga Hypermotion;21;Delantero centro;2368;35;7;5;8.24;4.33;109.0;46.0;46.0;67.3;71.0;56.0;28.0;34.0;105.0;20.0;50.1;47.6;50.0;58.0;193.0;47.0;25.0;11.0;7;0;;;;;5653894
Belgio Jorsen;Golce FC;LaLiga Hypermotion;21;POR;1037;17;0;0;;;;;8.0;88.1;97.0;41.0;29.0;2.0;69.0;7.0;45.7;59.2;25.0;23.0;76.0;4.0;6.0;6.0;7;0;45.0;10.0;8.0;5.0;5184785
Henzar Farju;Golce FC;LaLiga Hypermotion;29;POR;1424;20;0;0;;;;;30.0;88.5;89.0;87.0;11.0;23.0;4.0;9.0;33.8;50.2;37.0;25.0;85.0;4.0;11.0;21.0;9;0;67.0;15.0;8.0;20.0;5981710
Nevzar Silnen;Golce FC;LaLiga Hypermotion;18;Delantero centro;2735;47;8;6;9.17;6.02;109.0;36.0;42.0;71.5;109.0;113.0;45.0;14.0;77.0;103.0;59.7;65.3;87.0;34.0;357.0;17.0;21.0;55.0;1;0;;;;;13900314
Belba Aric;Golce FC;LaLiga Hypermotion;21;Lateral derecho;1569;20;1;1;2.86;0.63;6.0;2.0;14.0;81.3;104.0;43.0;11.0;15.0;15.0;67.0;49.0;49.3;22.0;29.0;122.0;32.0;11.0;20.0;3;0;;;;;8257679
Nevhus Pragio;Golce FC;LaLiga Hypermotion;26;Pivote;1187;14;0;0;0.54;0.88;2.0;0.0;20.0;72.9;90.0;46.0;19.0;17.0;22.0;28.0;44.0;57.6;15.0;40.0;116.0;27.0;4.0;15.0;8;0;;;;;4752900
Kalgio Silnen;Golce FC;LaLiga Hypermotion;23;Extremo izquierdo;1572;17;3;1;2.64;2.71;18.0;8.0;33.0;72.3;155.0;38.0;13.0;22.0;51.0;44.0;31.9;45.1;40.0;51.0;141.0;15.0;13.0;23.0;5;0;;;;;13033737
Morba Quiba;Golce FC;LaLiga Hypermotion;20;DC;1933;30;1;2;1.72;2.86;21.0;6.0;34.0;72.8;142.0;74.0;53.0;10.0;82.0;17.0;69.3;42.0;12.0;20.0;174.0;74.0;24.0;27.0;8;0;;;;;8465021
Arvic Fargio;Golce FC;LaLiga Hypermotion;30;Mediapunta;2133;28;1;0;2.17;1.62;61.0;32.0;30.0;93.0;143.0;84.0;21.0;17.0;83.0;71.0;68.5;42.8;33.0;32.0;210.0;29.0;16.0;35.0;0;0;;;;;1233992
Faric Gollan;Golce FC;LaLiga Hypermotion;27;Lateral derecho;2522;33;3;5;3.02;6.77;41.0;18.0;23.0;95.5;98.0;120.0;24.0;30.0;108.0;38.0;65.6;61.7;46.0;66.0;248.0;14.0;24.0;35.0;8;0;;;;;19262649
Mormir Nevgio;Golce FC;LaLiga Hypermotion;22;Pivote;2666;32;1;1;3.16;6.91;37.0;7.0;19.0;91.1;128.0;148.0;79.0;29.0;85.0;30.0;43.2;46.3;72.0;80.0;125.0;39.0;24.0;36.0;5;0;;;;;5727911
Henhus Henvic;Golce FC;LaLiga Hypermotion;21;MC;2677;36;2;2;1.23;2.69;45.0;15.0;30.0;72.2;262.0;53.0;90.0;12.0;97.0;96.0;30.0;65.5;86.0;35.0;236.0;67.0;34.0;58.0;8;0;;;;;17115692
Belpel Ostmir;Golce FC;LaLiga Hypermotion;22;Lateral derecho;1423;18;2;1;1.69;1.13;9.0;2.0;33.0;79.0;137.0;23.0;5.0;13.0;34.0;16.0;48.6;54.5;21.0;25.0;111.0;11.0;18.0;9.0;4;1;;;;;12578063
Silos Jordin;Golce FC;LaLiga Hypermotion;25;Extremo izquierdo;2131;25;3;2;3.15;1.48;51.0;25.0;17.0;65.8;43.0;51.0;26.0;8.0;23.0;61.0;45.9;41.9;14.0;49.0;213.0;31.0;22.0;44.0;0;0;;;;;2053934
Ostnen Corkov;Golce FC;LaLiga Hypermotion;22;Mediapunta;2060;26;0;0;0.86;0.68;93.0;31.0;4.0;86.5;108.0;17.0;35.0;5.0;24.0;9.0;46.7;40.5;8.0;16.0;68.0;70.0;18.0;42.0;4;1;;;;;372549
Quipel Quisen;Golce FC;LaLiga Hypermotion;20;Mediapunta;1349;21;5;4;5.74;2.37;53.0;26.0;6.0;88.2;106.0;37.0;36.0;5.0;7.0;37.0;41.2;63.4;8.0;30.0;56.0;56.0;2.0;32.0;0;0;;;;;5192951
Kalmir Ivaba;Golce FC;LaLiga Hypermotion;25;Extremo izquierdo;1037;13;3;2;3.7;2.02;50.0;12.0;10.0;90.4;31.0;54.0;44.0;13.0;8.0;25.0;50.2;44.5;28.0;32.0;89.0;42.0;1.0;7.0;4;0;;;;;11706935
Nevnen Roskov;Golce FC;LaLiga Hypermotion;25;Delantero centro;2753;37;14;9;14.7;12.61;61.0;18.0;65.0;86.2;59.0;103.0;16.0;29.0;28.0;93.0;53.5;52.1;76.0;68.0;134.0;112.0;35.0;45.0;5;0;;;;;7461593
Kalju Golpel;Golce FC;LaLiga Hypermotion;31;Extremo izquierdo;2635;34;8;4;10.54;4.72;35.0;11.0;46.0;85.2;157.0;97.0;66.0;38.0;80.0;113.0;57.5;62.6;50.0;49.0;263.0;96.0;6.0;29.0;9;0;;;;;1745568
Belba Henfal;Golce FC;LaLiga Hypermotion;25;Lateral derecho;2003;26;0;0;2.71;1.38;30.0;9.0;16.0;65.5;86.0;60.0;37.0;30.0;36.0;29.0;65.8;60.4;21.0;14.0;100.0;47.0;26.0;23.0;4;0;;;;;818142
Coros Beldin;Golce FC;LaLiga Hypermotion;20;Extremo izquierdo;312;5;0;0;0.81;0.35;5.0;1.0;6.0;65.6;6.0;16.0;3.0;3.0;3.0;12.0;44.2;54.6;2.0;3.0;16.0;10.0;4.0;2.0;3;0;;;;;7075101
Nevgio Hennen;Golce FC;LaLiga Hypermotion;21;Extremo izquierdo;1508;18;5;4;6.66;3.82;23.0;7.0;26.0;84.0;44.0;42.0;30.0;1.0;48.0;32.0;65.6;48.4;25.0;14.0;60.0;51.0;15.0;7.0;2;0;;;;;9053535
Silpel Pragio;Golce FC;LaLiga Hypermotion;35;DC;1547;26;0;0;0.78;3.48;28.0;12.0;6.0;87.2;25.0;42.0;28.0;19.0;30.0;16.0;69.4;52.1;7.0;26.0;57.0;50.0;3.0;24.0;7;0;;;;;1064282
Quiju Corvic;Henfal FC;LaLiga Hypermotion;26;POR;1823;20;0;0;;;;;5.0;75.9;125.0;83.0;10.0;29.0;88.0;60.0;31.7;60.2;38.0;31.0;166.0;10.0;16.0;22.0;0;1;56.0;41.0;7.0;10.0;4796005
Torce Lunic;Henfal FC;LaLiga Hypermotion;23;POR;2597;41;0;0;;;;;79.0;82.0;73.0;165.0;8.0;38.0;162.0;52.0;36.1;60.9;51.0;106.0;198.0;79.0;25.0;38.0;5;0;85.0;36.0;10.0;16.0;14406886
Ostos Quinen;Henfal FC;LaLiga Hypermotion;23;Lateral derecho;1241;21;0;0;2.41;2.35;22.0;5.0;6.0;87.3;118.0;78.0;17.0;20.0;52.0;45.0;44.0;51.1;31.0;26.0;134.0;35.0;7.0;26.0;0;0;;;;;3855156
Rosba Corce;Henfal FC;LaLiga Hypermotion;22;Lateral derecho;1182;16;2;0;1.03;2.14;19.0;6.0;12.0;86.4;139.0;81.0;54.0;16.0;61.0;8.0;64.4;52.9;14.0;16.0;120.0;24.0;13.0;22.0;3;0;;;;;13618259
Quice Lunsen;Henfal FC;LaLiga Hypermotion;29;Extremo izquierdo;2258;33;6;3;6.41;3.34;88.0;22.0;48.0;79.4;106.0;137.0;37.0;28.0;100.0;14.0;67.5;50.3;50.0;32.0;187.0;13.0;26.0;52.0;9;0;;;;;4729400
Cormir Golhus;Henfal FC;LaLiga Hypermotion;24;Delantero centro;1967;25;2;0;2.92;1.8;83.0;24.0;16.0;73.2;73.0;22.0;9.0;22.0;47.0;87.0;30.5;51.6;14.0;41.0;174.0;47.0;24.0;41.0;3;0;;;;;1756528
Arvic Quiez;Henfal FC;LaLiga Hypermotion;25;Extremo izquierdo;1348;19;5;3;6.42;1.88;64.0;31.0;34.0;70.2;41.0;23.0;39.0;20.0;63.0;59.0;52.8;48.7;42.0;57.0;89.0;12.0;10.0;31.0;0;0;;;;;9243809
Henkov Belic;Henfal FC;LaLiga Hypermotion;29;MC;2207;35;0;0;4.31;2.31;14.0;4.0;11.0;82.4;67.0;71.0;68.0;1.0;147.0;41.0;44.3;55.2;55.0;64.0;101.0;39.0;28.0;50.0;4;0;;;;;5409165
Corrin Quiez;Henfal FC;LaLiga Hypermotion;17;Mediapunta;715;10;2;1;2.63;0.89;14.0;4.0;5.0;91.3;64.0;15.0;10.0;5.0;10.0;15.0;40.4;65.7;5.0;19.0;95.0;26.0;8.0;16.0;4;0;;;;;19980113
Arzar Nevsen;Henfal FC;LaLiga Hypermotion;23;Extremo izquierdo;2275;41;5;3;5.25;3.6;68.0;33.0;16.0;85.8;58.0;103.0;49.0;33.0;11.0;15.0;42.7;53.7;32.0;24.0;203.0;93.0;27.0;23.0;8;0;;;;;7603070
Farrin Belez;Henfal FC;LaLiga Hypermotion;31;DC;1065;12;0;0;0.74;2.62;17.0;6.0;12.0;81.9;51.0;21.0;10.0;8.0;13.0;45.0;42.7;56.0;22.0;14.0;44.0;22.0;8.0;17.0;5;0;;;;;402456
Nevhus Corlan;Henfal FC;LaLiga Hypermotion;25;Pivote;1576;23;0;0;0.22;3.64;19.0;4.0;14.0;80.9;20.0;46.0;32.0;16.0;60.0;16.0;49.5;41.1;30.0;10.0;71.0;43.0;7.0;17.0;7;0;;;;;302314
Corgio Silzar;Henfal FC;LaLiga Hypermotion;20;Pivote;1703;27;2;2;3.35;2.04;17.0;6.0;42.0;68.6;45.0;80.0;9.0;24.0;49.0;29.0;44.2;62.1;44.0;58.0;89.0;60.0;4.0;29.0;6;0;;;;;18041417
Belrin Goldin;Henfal FC;LaLiga Hypermotion;23;DC;492;8;0;0;0.52;0.31;8.0;1.0;7.0;78.3;20.0;18.0;17.0;6.0;13.0;13.0;37.1;49.4;11.0;8.0;29.0;3.0;4.0;11.0;0;0;;;;;7736680
Ostju Jorfal;Henfal FC;LaLiga Hypermotion;35;DC;1932;29;1;1;3.45;4.01;7.0;1.0;18.0;70.7;141.0;83.0;27.0;20.0;37.0;68.0;58.4;51.0;28.0;52.0;154.0;83.0;6.0;11.0;3;0;;;;;981418
Kalfal Elitov;Henfal FC;LaLiga Hypermotion;27;DC;1333;23;0;1;1.88;2.3;22.0;8.0;17.0;83.7;89.0;8.0;7.0;7.0;5.0;58.0;58.9;45.3;12.0;13.0;63.0;33.0;14.0;27.0;3;0;;;;;4091331
Golzar Prakov;Henfal FC;LaLiga Hypermotion;30;Mediapunta;1768;20;8;5;9.7;5.68;83.0;33.0;39.0;76.4;93.0;37.0;52.0;29.0;38.0;18.0;39.5;64.7;59.0;62.0;171.0;75.0;7.0;40.0;4;0;;;;;14001687
Farnen Belrin;Henfal FC;LaLiga Hypermotion;21;DC;2795;31;1;1;5.43;1.44;42.0;13.0;48.0;86.2;222.0;42.0;58.0;25.0;32.0;10.0;44.2;50.5;45.0;20.0;178.0;69.0;14.0;53.0;4;0;;;;;2526195
Jorzar Torsen;Henfal FC;LaLiga Hypermotion;30;MC;482;6;0;0;0.65;1.32;5.0;1.0;3.0;75.0;17.0;14.0;3.0;6.0;22.0;4.0;32.5;56.7;9.0;3.0;41.0;7.0;3.0;5.0;5;0;;;;;945021
Aros Lunba;Henfal FC;LaLiga Hypermotion;28;Lateral derecho;1882;27;0;3;1.04;1.39;32.0;8.0;52.0;67.5;62.0;15.0;48.0;5.0;24.0;42.0;57.2;58.3;44.0;42.0;240.0;79.0;3.0;25.0;5;0;;;;;6997343
Cormir Arpel;Henfal FC;LaLiga Hypermotion;20;Pivote;2331;34;0;0;4.03;3.31;18.0;7.0;23.0;74.0;87.0;21.0;31.0;10.0;46.0;25.0;33.0;44.5;18.0;28.0;157.0;79.0;4.0;54.0;9;0;;;;;1871807
Silhus Ostba;Henfal FC;LaLiga Hypermotion;21;Mediapunta;1885;23;2;1;2.84;1.86;47.0;22.0;26.0;85.9;33.0;74.0;39.0;20.0;34.0;39.0;35.1;40.4;10.0;18.0;158.0;52.0;19.0;44.0;4;0;;;;;1233040
