Player,Club,Competition,Age,Position,Minutes Played,Apps,Goals,Assists,xG,xA,Shots,Shots On Target,Key Passes,Pass Accuracy,Progressive Passes,Progressive Carries,Dribbles Completed,Accurate Crosses,Touches In Box,Aerial Duels Won,Aerials Won %,Duels Won %,Tackles Won,Interceptions,Recoveries,Clearances,Blocks,Fouls,Yellow Cards,Red Cards,Saves,Goals Conceded,Clean Sheets,High Claims,Market Value
Belzar Cordin,Ostju FC,Eredivisie,26,CB,775,10,0,0,1.06,0.76,14.0,3.0,10.0,68.2,11.0,9.0,2.0,9.0,35.0,16.0,66.9,53.3,4.0,9.0,54.0,33.0,8.0,8.0,9,0,,,,,78461
Lunhus Quiez,Ostju FC,Eredivisie,31,RB,3004,41,2,6,0.52,1.0,34.0,9.0,76.0,75.1,242.0,165.0,48.0,44.0,99.0,102.0,48.9,51.1,66.0,37.0,418.0,43.0,35.0,30.0,4,0,,,,,10832937
Corce Lunzar,Ostju FC,Eredivisie,22,CM,1546,21,0,0,2.76,1.75,21.0,9.0,11.0,71.1,89.0,43.0,21.0,24.0,81.0,54.0,45.3,43.3,11.0,31.0,98.0,13.0,10.0,37.0,1,0,,,,,1831751
Belju Morpel,Ostju FC,Eredivisie,20,AM,987,15,1,0,1.26,0.75,47.0,20.0,9.0,65.7,19.0,33.0,12.0,7.0,25.0,38.0,43.2,60.9,8.0,13.0,90.0,23.0,8.0,9.0,2,0,,,,,1358944
Faros Nevdin,Ostju FC,Eredivisie,22,RB,3007,47,1,1,0.88,5.24,22.0,8.0,62.0,87.0,212.0,128.0,5.0,41.0,46.0,127.0,43.4,54.3,45.0,74.0,138.0,49.0,11.0,22.0,5,0,,,,,12530349
Quice Golvic,Kallan FC,Eredivisie,35,GK,2083,28,0,0,,,,,26.0,85.7,70.0,85.0,47.0,13.0,139.0,71.0,31.3,60.6,38.0,30.0,124.0,20.0,18.0,48.0,5,0,90.0,49.0,2.0,20.0,1790413
Quitov Joros,Kallan FC,Eredivisie,27,GK,1005,12,0,0,,,,,5.0,92.2,19.0,8.0,8.0,9.0,53.0,16.0,42.3,39.0,14.0,17.0,32.0,34.0,7.0,15.0,2,0,57.0,11.0,2.0,4.0,90297
Belvic Eliez,Kallan FC,Eredivisie,23,LW,1265,14,4,2,5.31,3.56,36.0,13.0,4.0,74.0,91.0,59.0,12.0,10.0,16.0,12.0,50.7,64.9,10.0,19.0,86.0,36.0,2.0,12.0,0,0,,,,,5784665
Tormir Eliic,Kallan FC,Eredivisie,18,AM,857,13,1,0,1.31,1.17,13.0,3.0,12.0,82.8,24.0,46.0,13.0,7.0,13.0,8.0,56.7,64.9,5.0,17.0,83.0,20.0,3.0,12.0,0,1,,,,,2627746
Ostpel Arce,Kallan FC,Eredivisie,23,ST,928,15,2,1,2.64,0.83,31.0,16.0,9.0,85.4,88.0,60.0,21.0,12.0,56.0,30.0,31.4,43.9,9.0,20.0,115.0,39.0,11.0,20.0,4,0,,,,,11254397
Aros Silhus,Kallan FC,Eredivisie,30,RB,2294,38,0,3,1.68,1.77,30.0,13.0,68.0,66.5,254.0,140.0,56.0,19.0,105.0,46.0,52.0,53.7,30.0,62.0,272.0,45.0,13.0,35.0,3,0,,,,,18484185
Rosgio Quisen,Kallan FC,Eredivisie,25,ST,3090,42,3,1,3.43,2.89,34.0,8.0,51.0,79.3,146.0,164.0,19.0,30.0,89.0,87.0,43.0,46.8,19.0,28.0,316.0,108.0,12.0,62.0,5,0,,,,,3100127
Farmir Golce,Kallan FC,Eredivisie,24,AM,1927,33,14,12,14.6,12.25,46.0,25.0,24.0,76.9,215.0,29.0,30.0,24.0,52.0,38.0,40.9,66.8,30.0,58.0,124.0,24.0,23.0,23.0,6,0,,,,,7797258
Cortov Mormir,Kallan FC,Eredivisie,20,RB,2466,34,0,0,1.41,3.78,32.0,12.0,13.0,65.0,160.0,127.0,61.0,34.0,54.0,42.0,31.1,57.8,14.0,20.0,175.0,49.0,19.0,57.0,0,0,,,,,4382027
Rosrin Henfal,Kallan FC,Eredivisie,18,ST,2513,31,7,6,6.35,4.82,80.0,21.0,39.0,89.0,247.0,136.0,22.0,24.0,120.0,13.0,54.7,47.2,55.0,34.0,298.0,96.0,23.0,55.0,1,1,,,,,11674015
Danba Praju,Kallan FC,Eredivisie,25,RB,1713,23,0,0,1.45,0.96,29.0,10.0,28.0,90.6,42.0,59.0,30.0,19.0,64.0,39.0,36.2,40.7,18.0,40.0,71.0,19.0,5.0,35.0,1,0,,,,,1929772
Arhus Ostos,Kallan FC,Eredivisie,22,DM,1770,28,0,0,1.68,0.49,35.0,9.0,30.0,74.7,152.0,36.0,26.0,11.0,53.0,75.0,35.2,51.6,40.0,52.0,114.0,25.0,20.0,19.0,1,0,,,,,3062405
Jorez Ivakov,Kallan FC,Eredivisie,18,AM,1985,22,5,4,7.22,1.82,55.0,24.0,50.0,78.6,62.0,96.0,65.0,18.0,85.0,40.0,43.2,48.2,43.0,57.0,155.0,87.0,6.0,14.0,4,0,,,,,11513692
Danju Kalce,Kallan FC,Eredivisie,22,AM,1738,20,8,4,8.35,7.94,49.0,17.0,39.0,73.3,50.0,114.0,73.0,13.0,14.0,73.0,44.6,65.8,41.0,71.0,96.0,9.0,10.0,16.0,8,0,,,,,22789275
Silnen Quimir,Kallan FC,Eredivisie,21,CB,2020,25,0,0,1.2,3.75,9.0,2.0,17.0,64.0,136.0,38.0,22.0,12.0,29.0,90.0,63.6,49.3,26.0,48.0,104.0,37.0,26.0,39.0,2,0,,,,,5391092
Prazar Nevfal,Kallan FC,Eredivisie,24,AM,1691,21,5,2,6.09,4.66,48.0,18.0,18.0,90.6,170.0,106.0,28.0,7.0,96.0,50.0,40.1,62.9,14.0,40.0,159.0,18.0,5.0,24.0,5,0,,,,,7679168
Nevhus Ivasen,Kallan FC,Eredivisie,29,ST,1964,26,4,1,3.89,3.48,89.0,44.0,54.0,66.2,154.0,68.0,66.0,25.0,12.0,28.0,38.5,64.1,47.0,57.0,167.0,57.0,3.0,29.0,7,0,,,,,4810171
Coric Elilan,Kallan FC,Eredivisie,19,CB,1402,22,1,1,0.79,3.87,23.0,8.0,7.0,80.9,105.0,56.0,28.0,14.0,71.0,19.0,53.0,43.2,11.0,37.0,86.0,42.0,14.0,17.0,9,0,,,,,9159558
Golce Morce,Kallan FC,Eredivisie,22,LW,2209,25,15,11,19.11,7.98,85.0,32.0,35.0,80.0,130.0,28.0,22.0,3.0,143.0,84.0,54.3,51.3,45.0,88.0,117.0,28.0,4.0,25.0,4,0,,,,,40480682
Corfal Quiez,Kallan FC,Eredivisie,20,CB,2416,32,0,0,2.44,6.63,22.0,6.0,19.0,80.5,114.0,18.0,32.0,38.0,68.0,55.0,42.7,44.5,14.0,33.0,132.0,12.0,22.0,40.0,8,0,,,,,471930
Hentov Tordin,Kallan FC,Eredivisie,28,LW,2874,48,5,1,6.28,3.68,124.0,56.0,52.0,76.6,152.0,44.0,68.0,40.0,63.0,62.0,55.2,60.3,67.0,94.0,344.0,60.0,8.0,33.0,5,0,,,,,6584202
Torpel Jorrin,Kallan FC,Eredivisie,25,DM,1810,31,0,0,2.43,0.86,16.0,5.0,30.0,94.2,189.0,54.0,21.0,3.0,42.0,40.0,34.2,49.0,43.0,57.0,121.0,60.0,9.0,10.0,5,1,,,,,16533669
Farez Corsen,Danhus FC,Eredivisie,27,GK,933,12,0,0,,,,,18.0,91.1,28.0,17.0,2.0,2.0,28.0,10.0,54.9,52.7,30.0,37.0,114.0,17.0,8.0,10.0,8,0,27.0,14.0,6.0,10.0,8609938
Nevos Belju,Danhus FC,Eredivisie,25,GK,942,12,0,0,,,,,5.0,82.0,116.0,9.0,11.0,14.0,7.0,24.0,39.8,61.0,11.0,12.0,90.0,16.0,9.0,7.0,6,0,44.0,9.0,5.0,10.0,20303817
Belpel Danrin,Danhus FC,Eredivisie,23,DM,1651,27,1,0,0.81,1.89,17.0,5.0,38.0,71.3,65.0,96.0,37.0,9.0,21.0,51.0,59.4,45.3,22.0,57.0,129.0,34.0,12.0,26.0,1,0,,,,,22918401
Farce Ostgio,Danhus FC,Eredivisie,21,ST,2181,28,13,5,14.17,6.13,52.0,15.0,20.0,74.3,227.0,64.0,62.0,23.0,99.0,82.0,49.9,61.7,23.0,72.0,207.0,65.0,17.0,13.0,5,0,,,,,21445177
Nevfal Silrin,Danhus FC,Eredivisie,22,DM,986,14,0,0,1.26,0.97,15.0,3.0,18.0,66.0,72.0,6.0,19.0,12.0,62.0,15.0,43.7,57.9,5.0,15.0,45.0,16.0,3.0,8.0,0,0,,,,,5133005
Lunju Silos,Danhus FC,Eredivisie,23,LW,1701,27,1,0,0.83,0.59,36.0,16.0,21.0,76.7,81.0,25.0,21.0,16.0,87.0,43.0,56.9,47.9,23.0,8.0,102.0,24.0,11.0,13.0,2,0,,,,,362437
Belhus Quifal,Danhus FC,Eredivisie,25,ST,2053,25,5,4,6.0,4.56,43.0,17.0,10.0,93.2,68.0,24.0,50.0,27.0,28.0,84.0,35.5,62.4,38.0,71.0,260.0,32.0,25.0,13.0,5,0,,,,,6929945
Kalos Rosgio,Danhus FC,Eredivisie,21,CM,1630,25,0,0,0.69,1.79,26.0,8.0,24.0,66.0,38.0,22.0,19.0,16.0,99.0,18.0,63.7,55.9,30.0,15.0,133.0,49.0,11.0,13.0,3,0,,,,,9991500
Hendin Elifal,Danhus FC,Eredivisie,29,AM,228,3,0,0,0.11,0.07,4.0,1.0,1.0,77.0,7.0,5.0,4.0,3.0,13.0,10.0,52.2,52.6,3.0,4.0,16.0,6.0,1.0,3.0,9,0,,,,,250032
Praju Praos,Danhus FC,Eredivisie,24,DM,2019,36,0,2,3.21,5.57,14.0,4.0,5.0,65.6,178.0,15.0,25.0,24.0,11.0,85.0,59.2,59.4,13.0,59.0,190.0,65.0,2.0,12.0,0,0,,,,,5459796
Farpel Quikov,Danhus FC,Eredivisie,27,CB,2786,35,1,2,4.57,2.3,38.0,14.0,37.0,72.5,121.0,115.0,39.0,13.0,20.0,56.0,56.1,50.5,92.0,101.0,249.0,82.0,27.0,18.0,3,0,,,,,14150628
Belrin Elisen,Danhus FC,Eredivisie,19,LW,484,5,2,0,2.03,1.44,10.0,4.0,3.0,91.9,50.0,13.0,16.0,7.0,19.0,13.0,44.2,48.3,4.0,12.0,24.0,2.0,5.0,4.0,7,0,,,,,18734123
Jorhus Elivic,Danhus FC,Eredivisie,19,CB,444,7,0,0,0.08,0.97,7.0,2.0,2.0,72.7,14.0,13.0,9.0,2.0,17.0,2.0,42.6,63.8,7.0,15.0,39.0,17.0,1.0,10.0,6,0,,,,,9161434
Nevce Silic,Danhus FC,Eredivisie,26,LW,788,11,1,0,1.19,0.62,18.0,6.0,13.0,80.6,21.0,11.0,19.0,9.0,48.0,24.0,36.9,63.6,13.0,21.0,55.0,6.0,3.0,4.0,1,0,,,,,1854016
Ivaju Elilan,Danhus FC,Eredivisie,20,DM,988,13,0,0,1.19,2.56,3.0,0.0,13.0,71.1,37.0,38.0,7.0,13.0,21.0,39.0,59.6,47.9,11.0,16.0,110.0,43.0,9.0,14.0,1,0,,,,,10758610
Henfal Torvic,Danhus FC,Eredivisie,30,AM,1843,32,3,2,3.66,2.6,24.0,11.0,12.0,95.0,50.0,40.0,9.0,16.0,88.0,14.0,48.3,50.2,60.0,23.0,182.0,81.0,22.0,41.0,8,1,,,,,5125989
Corba Ivavic,Danhus FC,Eredivisie,24,RB,1284,16,0,0,1.37,2.32,11.0,3.0,12.0,75.7,78.0,48.0,15.0,21.0,63.0,28.0,38.5,51.1,10.0,10.0,38.0,5.0,13.0,31.0,4,0,,,,,486741
Nevos Faric,Danhus FC,Eredivisie,19,RB,2222,27,1,2,3.24,4.18,37.0,17.0,19.0,71.0,70.0,16.0,52.0,29.0,36.0,28.0,67.4,45.9,40.0,37.0,116.0,77.0,5.0,13.0,2,0,,,,,10485811
Corpel Praba,Danhus FC,Eredivisie,22,LW,2632,31,0,0,0.77,0.63,95.0,42.0,9.0,70.3,146.0,70.0,27.0,12.0,95.0,20.0,58.7,61.9,29.0,23.0,87.0,26.0,13.0,28.0,1,0,,,,,551031
Nevfal Jorsen,Danhus FC,Eredivisie,23,ST,1509,21,1,0,1.86,1.57,44.0,19.0,11.0,86.1,45.0,56.0,12.0,13.0,51.0,15.0,45.8,61.8,30.0,10.0,85.0,66.0,16.0,34.0,8,0,,,,,913954
Toros Roslan,Danhus FC,Eredivisie,27,ST,1669,21,5,4,6.06,4.14,75.0,39.0,4.0,85.9,118.0,32.0,35.0,25.0,49.0,43.0,48.3,66.1,13.0,12.0,104.0,26.0,19.0,17.0,7,0,,,,,2450750
Golju Nevez,Danhus FC,Eredivisie,19,ST,1980,32,5,1,4.87,4.53,49.0,14.0,57.0,72.3,61.0,30.0,22.0,4.0,14.0,19.0,34.5,55.8,55.0,42.0,267.0,17.0,16.0,46.0,7,0,,,,,14080039
Quirin Jorgio,Ivahus FC,Eredivisie,22,GK,1854,31,0,0,,,,,34.0,69.7,114.0,20.0,33.0,11.0,119.0,67.0,52.8,57.2,33.0,33.0,200.0,75.0,15.0,41.0,6,0,47.0,42.0,1.0,16.0,7200277
Silic Rossen,Ivahus FC,Eredivisie,30,GK,741,12,0,0,,,,,3.0,64.6,62.0,19.0,3.0,11.0,44.0,17.0,38.0,65.9,5.0,24.0,59.0,28.0,9.0,11.0,5,0,25.0,9.0,5.0,12.0,2736796
Ostez Nevce,Ivahus FC,Eredivisie,25,DM,1792,25,1,1,1.11,3.59,26.0,6.0,18.0,68.1,118.0,13.0,32.0,22.0,92.0,18.0,45.8,62.9,28.0,23.0,210.0,77.0,23.0,38.0,4,0,,,,,4316958
Nevez Pramir,Ivahus FC,Eredivisie,18,CM,2346,37,1,0,3.93,5.64,37.0,18.0,45.0,92.2,243.0,58.0,31.0,37.0,137.0,74.0,49.2,61.4,67.0,81.0,122.0,19.0,11.0,49.0,0,0,,,,,15195004
Lunfal Ivaez,Ivahus FC,Eredivisie,22,LW,1232,14,3,3,3.28,1.34,38.0,15.0,23.0,86.8,85.0,42.0,7.0,15.0,70.0,24.0,31.6,52.3,16.0,27.0,42.0,7.0,7.0,10.0,7,0,,,,,3716727
Torba Quiju,Ivahus FC,Eredivisie,29,CM,1557,27,1,1,2.64,3.48,29.0,11.0,12.0,89.3,64.0,49.0,48.0,20.0,12.0,47.0,57.7,47.8,23.0,40.0,168.0,17.0,12.0,29.0,7,0,,,,,6022824
Golce Corsen,Ivahus FC,Eredivisie,21,DM,2093,24,2,0,2.7,5.14,6.0,2.0,14.0,72.5,125.0,71.0,7.0,16.0,25.0,19.0,53.8,57.1,53.0,45.0,226.0,44.0,10.0,24.0,1,0,,,,,15966407
Arfal Arsen,Ivahus FC,Eredivisie,20,CB,1911,29,2,3,1.64,3.99,14.0,4.0,35.0,67.4,203.0,23.0,40.0,24.0,62.0,7.0,61.7,60.5,32.0,23.0,100.0,82.0,17.0,24.0,4,0,,,,,25698798
Nevdin Torba,Ivahus FC,Eredivisie,34,DM,2499,39,0,2,1.62,3.19,26.0,7.0,11.0,88.8,73.0,53.0,56.0,10.0,54.0,102.0,67.9,47.5,24.0,74.0,201.0,10.0,21.0,29.0,1,0,,,,,3217819
Farlan Praos,Ivahus FC,Eredivisie,25,CM,2256,38,0,0,1.3,2.29,12.0,4.0,23.0,74.0,54.0,104.0,73.0,33.0,126.0,41.0,68.3,62.0,66.0,39.0,241.0,71.0,11.0,33.0,1,0,,,,,3074151
Jorez Ostdin,Ivahus FC,Eredivisie,34,CB,2216,30,0,1,2.64,1.3,41.0,12.0,26.0,84.4,156.0,79.0,29.0,7.0,53.0,54.0,45.6,51.2,40.0,19.0,158.0,67.0,15.0,17.0,8,0,,,,,3721563
Ardin Morsen,Ivahus FC,Eredivisie,24,ST,1849,21,7,2,8.45,4.11,54.0,22.0,15.0,65.4,96.0,36.0,56.0,5.0,10.0,66.0,67.6,44.5,12.0,21.0,101.0,34.0,8.0,26.0,4,0,,,,,2989889
Lungio Ostlan,Ivahus FC,Eredivisie,20,CM,1533,27,0,0,2.12,0.84,13.0,6.0,11.0,73.5,37.0,39.0,35.0,20.0,83.0,44.0,47.8,55.4,35.0,41.0,133.0,18.0,9.0,31.0,4,0,,,,,11417326
Jorpel Pranen,Ivahus FC,Eredivisie,26,CM,3135,46,1,4,4.21,4.34,36.0,16.0,29.0,94.0,94.0,73.0,108.0,28.0,95.0,87.0,53.5,51.9,20.0,31.0,192.0,59.0,10.0,33.0,9,0,,,,,4818733
Rosba Lunrin,Ivahus FC,Eredivisie,18,CM,1367,22,0,0,0.4,3.76,10.0,3.0,2.0,79.4,67.0,32.0,17.0,2.0,21.0,54.0,59.5,58.1,13.0,23.0,41.0,59.0,3.0,16.0,6,0,,,,,220831
Nevsen Quice,Ivahus FC,Eredivisie,21,AM,1196,16,1,0,1.23,0.93,25.0,8.0,12.0,88.8,64.0,38.0,7.0,15.0,42.0,46.0,55.9,62.8,7.0,10.0,94.0,22.0,15.0,20.0,4,1,,,,,1495134
Ivakov Jorrin,Ivahus FC,Eredivisie,24,ST,1444,18,1,0,1.67,0.55,29.0,9.0,20.0,78.8,37.0,59.0,29.0,15.0,75.0,35.0,50.6,63.6,26.0,27.0,76.0,6.0,10.0,21.0,7,0,,,,,1131228
Farnen Ostsen,Ivahus FC,Eredivisie,24,RB,1667,26,0,0,2.84,4.06,25.0,7.0,16.0,93.3,111.0,32.0,4.0,12.0,79.0,44.0,46.0,61.2,37.0,26.0,92.0,32.0,17.0,11.0,8,0,,,,,2809599
Golsen Quiba,Ivahus FC,Eredivisie,17,RB,1604,23,0,0,0.97,0.62,12.0,5.0,4.0,73.7,101.0,31.0,41.0,2.0,37.0,20.0,44.3,58.6,24.0,24.0,208.0,30.0,14.0,29.0,2,0,,,,,15274035
Morju Elivic,Ivahus FC,Eredivisie,20,CM,2250,31,0,1,1.04,3.63,11.0,4.0,17.0,69.3,98.0,31.0,4.0,29.0,34.0,26.0,36.5,60.1,37.0,20.0,84.0,58.0,5.0,15.0,6,0,,,,,1556801
Farvic Quiba,Ivahus FC,Eredivisie,24,CM,1088,17,0,0,0.16,1.7,16.0,7.0,11.0,89.9,93.0,50.0,15.0,1.0,50.0,48.0,59.6,50.7,14.0,32.0,73.0,15.0,7.0,20.0,6,0,,,,,2354002
Kaldin Kaltov,Ivahus FC,Eredivisie,23,CM,1587,19,0,0,0.63,3.87,9.0,2.0,25.0,65.6,87.0,73.0,36.0,16.0,9.0,20.0,59.4,58.5,15.0,27.0,75.0,45.0,10.0,27.0,2,0,,,,,3604940
Lunsen Rosju,Nevlan FC,Eredivisie,29,GK,2153,34,0,0,,,,,44.0,77.0,121.0,25.0,32.0,19.0,78.0,90.0,57.9,64.9,51.0,64.0,109.0,87.0,9.0,31.0,9,0,107.0,48.0,8.0,13.0,6646667
Silce Elinen,Nevlan FC,Eredivisie,23,GK,1938,21,0,0,,,,,27.0,72.7,170.0,89.0,52.0,16.0,20.0,64.0,54.3,50.2,64.0,32.0,138.0,47.0,15.0,39.0,4,0,81.0,16.0,13.0,20.0,21143888
Ivalan Golce,Nevlan FC,Eredivisie,28,LW,2376,35,9,8,9.68,7.12,94.0,39.0,44.0,76.1,184.0,105.0,5.0,12.0,135.0,94.0,59.6,52.1,49.0,61.0,162.0,16.0,14.0,19.0,8,0,,,,,13608637
Praos Jorlan,Nevlan FC,Eredivisie,28,CB,1127,18,0,0,0.48,2.56,14.0,5.0,16.0,92.7,64.0,8.0,27.0,13.0,19.0,47.0,51.2,61.6,14.0,10.0,50.0,47.0,9.0,7.0,0,0,,,,,1297977
Farce Ivakov,Nevlan FC,Eredivisie,24,ST,1358,21,2,0,2.46,0.8,17.0,5.0,6.0,65.6,90.0,10.0,8.0,4.0,86.0,36.0,64.8,48.7,12.0,39.0,73.0,19.0,7.0,11.0,8,0,,,,,5680094
Belnen Roslan,Nevlan FC,Eredivisie,20,CB,1528,18,1,1,2.24,3.52,8.0,2.0,36.0,68.0,71.0,28.0,15.0,5.0,97.0,50.0,65.0,54.6,15.0,26.0,92.0,42.0,9.0,14.0,2,0,,,,,4498646
Jorhus Lunos,Nevlan FC,Eredivisie,22,CM,2704,40,2,0,4.36,5.48,17.0,8.0,29.0,94.0,229.0,88.0,90.0,31.0,85.0,93.0,64.5,48.5,43.0,82.0,378.0,80.0,4.0,56.0,3,0,,,,,15753806
Farez Prakov,Nevlan FC,Eredivisie,21,ST,2171,31,5,2,5.33,3.08,71.0,24.0,30.0,73.4,81.0,111.0,29.0,24.0,10.0,74.0,43.7,48.4,40.0,39.0,223.0,31.0,10.0,13.0,3,0,,,,,5191631
Praba Pramir,Nevlan FC,Eredivisie,19,CM,1658,23,2,3,1.2,1.2,31.0,10.0,47.0,68.2,215.0,134.0,41.0,11.0,72.0,23.0,67.0,62.5,64.0,57.0,195.0,14.0,19.0,39.0,6,0,,,,,21057602
Danfal Kallan,Nevlan FC,Eredivisie,22,CM,1480,19,2,1,2.81,1.26,21.0,8.0,20.0,90.0,75.0,114.0,11.0,17.0,74.0,26.0,63.9,51.3,34.0,45.0,211.0,22.0,4.0,10.0,3,0,,,,,25377590
Elizar Danlan,Nevlan FC,Eredivisie,27,ST,2084,31,4,2,3.7,1.7,49.0,24.0,26.0,82.0,135.0,101.0,55.0,9.0,45.0,58.0,41.1,48.9,10.0,59.0,192.0,92.0,6.0,16.0,0,0,,,,,3661972
Prarin Jornen,Nevlan FC,Eredivisie,25,CM,1748,29,1,1,1.32,3.66,16.0,6.0,23.0,69.6,103.0,53.0,40.0,14.0,68.0,73.0,49.6,43.5,13.0,36.0,180.0,60.0,17.0,25.0,6,0,,,,,8902918
Faros Praez,Nevlan FC,Eredivisie,22,CB,1192,16,0,0,1.56,0.66,23.0,9.0,15.0,85.1,81.0,42.0,2.0,14.0,65.0,18.0,45.6,58.8,20.0,8.0,43.0,42.0,8.0,25.0,3,0,,,,,3136005
Mormir Quirin,Nevlan FC,Eredivisie,26,DM,1821,29,0,1,2.85,1.52,15.0,6.0,21.0,76.0,87.0,78.0,22.0,18.0,99.0,13.0,38.4,63.3,41.0,16.0,125.0,16.0,19.0,42.0,3,1,,,,,4345915
Kalfal Pranen,Nevlan FC,Eredivisie,29,ST,2219,29,4,2,4.64,3.21,60.0,21.0,47.0,82.7,177.0,20.0,32.0,18.0,89.0,74.0,66.3,54.4,13.0,27.0,234.0,31.0,29.0,48.0,3,0,,,,,1466055
Moric Silvic,Nevlan FC,Eredivisie,32,LW,2191,28,9,4,8.98,6.17,52.0,18.0,6.0,69.8,54.0,64.0,57.0,4.0,46.0,27.0,67.9,52.8,36.0,60.0,207.0,21.0,28.0,22.0,7,0,,,,,2710288
Quidin Belfal,Nevlan FC,Eredivisie,22,RB,1431,19,0,0,1.57,3.53,22.0,8.0,16.0,81.7,93.0,23.0,9.0,20.0,49.0,49.0,37.4,52.1,9.0,37.0,134.0,29.0,12.0,25.0,0,0,,,,,1939354
Ivahus Gollan,Nevlan FC,Eredivisie,27,AM,1473,17,7,2,8.74,5.76,37.0,15.0,38.0,81.1,118.0,17.0,46.0,17.0,70.0,37.0,46.5,61.8,49.0,30.0,148.0,20.0,9.0,31.0,4,0,,,,,9759786
Golhus Henzar,Nevlan FC,Eredivisie,25,CB,2758,36,1,1,2.59,3.47,18.0,4.0,13.0,80.4,247.0,20.0,37.0,25.0,54.0,95.0,32.3,48.8,43.0,28.0,312.0,66.0,6.0,25.0,7,1,,,,,2016723
Arju Praez,Nevlan FC,Eredivisie,31,LW,1867,29,1,1,1.55,1.31,39.0,10.0,27.0,75.8,86.0,67.0,4.0,6.0,91.0,23.0,61.1,46.9,30.0,30.0,110.0,52.0,19.0,42.0,0,0,,,,,259652
Belrin Quimir,Nevlan FC,Eredivisie,20,DM,1834,30,0,0,1.21,2.1,34.0,9.0,33.0,86.7,33.0,76.0,19.0,2.0,29.0,35.0,34.6,57.1,14.0,30.0,83.0,16.0,22.0,20.0,2,0,,,,,5074093
Silvic Henrin,Nevlan FC,Eredivisie,22,ST,1215,14,2,1,2.52,2.35,40.0,12.0,4.0,83.1,49.0,54.0,21.0,15.0,53.0,28.0,52.1,59.3,20.0,21.0,115.0,17.0,6.0,7.0,9,0,,,,,4013588
Rosce Jorvic,Torvic FC,Eredivisie,26,GK,1161,18,0,0,,,,,6.0,77.2,75.0,27.0,2.0,9.0,74.0,5.0,65.0,56.4,25.0,29.0,55.0,4.0,13.0,24.0,3,0,38.0,24.0,2.0,12.0,462856
Beldin Jormir,Torvic FC,Eredivisie,23,GK,2306,32,0,0,,,,,28.0,82.0,183.0,71.0,37.0,37.0,23.0,46.0,66.2,48.8,74.0,20.0,176.0,81.0,13.0,27.0,1,0,80.0,42.0,6.0,31.0,15652552
Corvic Rosgio,Torvic FC,Eredivisie,25,CB,1891,24,0,1,2.13,2.83,10.0,4.0,16.0,71.7,170.0,49.0,26.0,30.0,76.0,19.0,67.3,47.1,22.0,51.0,208.0,57.0,14.0,40.0,2,1,,,,,3817593
Prace Torfal,Torvic FC,Eredivisie,25,LW,1315,21,4,2,5.3,3.52,17.0,8.0,15.0,90.5,62.0,36.0,7.0,4.0,8.0,43.0,30.6,44.4,22.0,25.0,54.0,34.0,2.0,29.0,8,0,,,,,3809596
Silos Torpel,Torvic FC,Eredivisie,26,AM,1460,23,2,1,2.91,0.84,48.0,13.0,11.0,66.8,109.0,37.0,4.0,2.0,85.0,5.0,53.5,40.9,15.0,31.0,78.0,17.0,4.0,11.0,3,0,,,,,1146046
Nevba Silhus,Torvic FC,Eredivisie,23,CM,1416,18,0,2,1.19,1.09,23.0,8.0,26.0,82.8,95.0,16.0,40.0,21.0,91.0,49.0,63.3,55.9,23.0,19.0,104.0,56.0,4.0,18.0,0,0,,,,,8686988
Ivaos Quifal,Torvic FC,Eredivisie,32,CB,2371,27,1,1,3.23,3.03,43.0,9.0,30.0,82.6,61.0,110.0,10.0,35.0,57.0,84.0,34.4,64.7,39.0,19.0,153.0,26.0,9.0,20.0,3,0,,,,,2657879
Torvic Kalnen,Torvic FC,Eredivisie,28,LW,2209,25,8,5,8.02,4.05,31.0,10.0,43.0,88.9,73.0,30.0,71.0,6.0,106.0,56.0,66.2,45.0,56.0,30.0,289.0,73.0,4.0,36.0,4,0,,,,,6689917
Silos Moros,Torvic FC,Eredivisie,27,AM,785,8,1,0,1.05,0.77,18.0,4.0,19.0,72.5,28.0,39.0,9.0,8.0,23.0,33.0,67.2,54.7,19.0,6.0,88.0,8.0,10.0,16.0,4,0,,,,,6314569
Corez Prazar,Torvic FC,Eredivisie,27,DM,2287,29,0,1,2.77,4.22,6.0,1.0,6.0,72.3,146.0,13.0,55.0,3.0,143.0,70.0,62.3,43.2,28.0,54.0,160.0,62.0,15.0,36.0,0,0,,,,,2202235
Corce Corzar,Torvic FC,Eredivisie,25,AM,1756,28,2,1,2.29,0.77,87.0,35.0,14.0,74.7,61.0,30.0,5.0,3.0,57.0,9.0,46.8,50.4,19.0,23.0,80.0,17.0,12.0,37.0,3,0,,,,,568611
Rosvic Coros,Torvic FC,Eredivisie,34,LW,1569,21,4,2,4.68,2.6,55.0,26.0,23.0,72.3,89.0,26.0,4.0,2.0,32.0,39.0,51.5,50.0,33.0,34.0,118.0,31.0,9.0,26.0,2,0,,,,,2268696
Belpel Farhus,Torvic FC,Eredivisie,18,LW,1867,21,5,3,5.21,2.39,64.0,32.0,15.0,87.9,43.0,54.0,5.0,22.0,54.0,71.0,69.7,61.4,51.0,60.0,210.0,37.0,8.0,41.0,5,0,,,,,14406819
